pair_id,worker_1_id,worker_1_correct,worker_1_help,worker_2_id,worker_2_correct,worker_2_help,matching_seed
632,W0858,6,13,W1123,21,7,20260713
633,W0940,5,18,W1344,4,0,20260713
634,W1396,0,20,W0333,11,11,20260713
635,W1191,14,19,W0407,0,20,20260713
636,W1217,12,6,W0837,20,12,20260713
637,W1281,0,20,W0678,11,11,20260713
638,W0256,1,15,W1101,5,18,20260713
639,W0608,4,0,W0343,12,6,20260713
640,W0335,2,10,W1330,21,7,20260713
641,W0068,19,17,W0769,4,0,20260713
642,W1199,1,15,W0413,19,17,20260713
643,W1013,10,16,W1373,0,20,20260713
644,W0704,9,21,W1214,14,19,20260713
645,W0577,17,4,W0147,20,12,20260713
646,W0760,10,16,W1318,6,13,20260713
647,W0230,3,5,W0253,3,5,20260713
648,W0850,19,17,W0235,15,14,20260713
649,W0630,20,12,W0323,10,16,20260713
650,W0622,10,16,W0954,11,11,20260713
651,W0155,7,8,W0089,5,18,20260713
652,W0029,22,2,W0537,13,1,20260713
653,W0938,14,19,W1204,13,1,20260713
654,W0351,22,2,W1200,8,3,20260713
655,W0381,2,10,W0545,0,20,20260713
656,W0609,11,11,W0095,1,15,20260713
657,W0605,6,13,W0594,21,7,20260713
658,W0114,19,17,W0721,13,1,20260713
659,W1208,18,22,W1075,7,8,20260713
660,W0103,11,11,W0210,1,15,20260713
661,W1174,10,16,W1189,0,20,20260713
662,W0859,13,1,W0601,1,15,20260713
663,W0647,1,15,W0783,10,16,20260713
664,W0293,7,8,W0187,1,15,20260713
665,W0595,5,18,W0216,20,12,20260713
666,W0257,8,3,W1147,5,18,20260713
667,W1160,4,0,W0663,21,7,20260713
668,W0031,13,1,W0490,6,13,20260713
669,W1383,1,15,W1300,18,22,20260713
670,W0651,6,13,W0904,6,13,20260713
671,W1387,6,13,W0281,15,14,20260713
672,W0344,19,17,W1032,5,18,20260713
673,W0229,19,17,W0703,2,10,20260713
674,W1367,4,0,W0957,9,21,20260713
675,W1221,17,4,W0098,22,2,20260713
676,W0723,4,0,W1102,12,6,20260713
677,W0398,6,13,W0360,16,9,20260713
678,W1225,22,2,W0803,12,6,20260713
679,W1232,2,10,W1325,9,21,20260713
680,W0396,15,14,W0676,20,12,20260713
681,W1088,6,13,W1026,9,21,20260713
682,W1000,11,11,W0337,16,9,20260713
683,W1339,15,14,W0356,11,11,20260713
684,W0411,5,18,W0258,15,14,20260713
685,W0516,4,0,W0709,21,7,20260713
686,W0096,8,3,W0181,5,18,20260713
687,W0962,21,7,W1345,11,11,20260713
688,W1151,10,16,W0619,12,6,20260713
689,W0717,8,3,W0701,11,11,20260713
690,W1109,15,14,W0631,4,0,20260713
691,W1087,22,2,W0531,17,4,20260713
692,W1249,6,13,W0384,0,20,20260713
693,W1361,8,3,W1322,11,11,20260713
694,W0070,10,16,W1035,3,5,20260713
695,W0190,22,2,W0947,8,3,20260713
696,W0671,8,3,W0512,22,2,20260713
697,W1233,9,21,W1394,9,21,20260713
698,W0976,4,0,W0138,3,5,20260713
699,W1297,20,12,W1115,11,11,20260713
700,W0555,1,15,W0593,14,19,20260713
